time,x,y,v_x,v_y
39614400.0,-160280891875.24442,166776000829.8057,-18047.572601473254,-16143.791572443588
39657600.0,-163385324361.52396,163971647194.15277,-17749.25349749379,-16451.11651336602
39700800.0,-166437964849.40582,161114467326.20895,-17445.872447126272,-16752.567948833956
39744000.0,-169437944569.18594,158205479909.73184,-17137.554041274027,-17048.06792024718
39787200.0,-172384416327.75586,155245716961.7976,-16824.423849578605,-17337.541361050524
39830400.0,-175276554674.19788,152236223332.97122,-16506.60834650821,-17620.916098147998
39873600.0,-178113556052.64062,149178056207.33102,-16184.234838132772,-17898.122851258
39916800.0,-180894638942.49628,146072284602.70105,-15857.431389645872,-18169.09523025612
39960000.0,-183619043986.2118,142919988871.43622,-15526.326753690946,-18433.769730553882
40003200.0,-186286034104.6751,139722260202.09857,-15191.050299546743,-18692.08572656316
40046400.0,-188894894600.42804,136480200122.35129,-14851.731943224311,-18943.985463297584
40089600.0,-191444933248.84494,133194920003.39142,-14508.50207852522,-19189.414046163434
40132800.0,-193935480377.44647,129867540566.23064,-14161.49150910792,-19428.319428993655
40176000.0,-196365888933.52374,126499191390.1255,-13810.831381606655,-19660.652400379735
40219200.0,-198735534540.25766,123091010423.44853,-13456.653119844514,-19886.36656835699
40262400.0,-201043815541.52393,119644143497.2819,-13099.088360179667,-20105.418343499594
40305600.0,-203290153035.58118,116159743842.0061,-12738.268888021097,-20317.766920482372
40348800.0,-205473990897.84662,112638971607.14531,-12374.32657554753,-20523.374258166783
40392000.0,-207594795792.9675,109082993384.72224,-12007.393320660665,-20722.205058269086
40435200.0,-209652057176.40424,105492981736.36444,-11637.600987201205,-20914.22674266879
40478400.0,-211645287285.74405,101870114724.394,-11265.081346453639,-21099.409429415806
40521600.0,-213574021121.96875,98215575447.12335,-10889.966019963167,-21277.725907494663
40564800.0,-215437816420.90497,94530551578.56848,-10512.386423685788,-21449.151610404264
40608000.0,-217236253615.08786,90816234912.78185,-10132.473713489973,-21613.664588611333
40651200.0,-218968935786.27243,87073820912.99683,-9750.358732026127,-21771.245480935653
40694400.0,-220635488608.82996,83304508265.76544,-9366.171956977574,-21921.8774849247
40737600.0,-222235560284.2683,79509498440.26118,-8980.043450704616,-22065.546326275016
40780800.0,-223768821467.11758,75689995252.90916,-8592.102811290897,-22202.240227357048
40824000.0,-225234965182.4241,71847204437.49567,-8202.479124999249,-22331.94987489967
40867200.0,-226633706735.09564,67982333220.89969,-7811.300920141997,-22454.668386889898
40910400.0,-227964783611.34354,64096589904.57953,-7418.696122368719,-22570.39127874267
40953600.0,-229227955372.46582,60191183451.93777,-7024.792011372456,-22679.11642879461
40996800.0,-230423003541.21713,56267323081.67922,-6629.715179013497,-22780.844043175068
41040000.0,-231549731481.00964,52326217867.26676,-6233.591488857977,-22875.576620106585
41083200.0,-232607964268.18982,48369076342.57113,-5836.54603712682,-22963.31891368612
41126400.0,-233597548557.63394,44397106113.80224,-5438.703115048802,-23044.07789719728
41169600.0,-234518352441.90512,40411513477.800476,-5040.18617260995,-23117.862726002808
41212800.0,-235370265304.21237,36413503046.75827,-4641.117783689879,-23184.684700065354
41256000.0,-236153197665.411,32404277379.43403,-4241.619612574242,-23244.557226143555
41299200.0,-236867081025.28134,28385036618.91217,-3841.8123818310137,-23297.49577970913
41342400.0,-237511867698.32126,24356978136.955482,-3441.8158415370435,-23343.517866629685
41385600.0,-238087530644.2847,20321296184.988102,-3041.748739839986,-23382.6429846604
41428800.0,-238594063293.69653,16279181551.74022,-2641.728794839591,-23414.892584786834
41472000.0,-239031479368.5705,12231821227.57819,-2241.8726677711566,-23440.29003245958
41515200.0,-239399812698.5549,8180398075.53693,-1842.2959374729267,-23458.86056876027
41558400.0,-239699117032.72662,4126090509.0645394,-1443.11307611822,-23470.631271537215
41601600.0,-239929465847.25116,70072176.48268986,-1044.4374261921544,-23475.63101654751
41644800.0,-240090952149.12286,-3986488347.8400574,-646.3811786919905,-23473.89043864118
41688000.0,-240183688276.19565,-8042427865.61093,-249.05535252932415,-23465.441893021645
41731200.0,-240207805693.71085,-12096588850.046383,147.43022488836255,-23450.319416615435
41774400.0,-240163454787.52496,-16147819734.636677,542.9669359199407,-23428.55868958271
41817600.0,-240050804654.23578,-20194975195.267403,937.4473898204135,-23400.19699699888
41860800.0,-239870042888.40167,-24236916425.72891,1330.7654387625234,-23365.273190736276
41904000.0,-239621375367.0441,-28272511406.649498,1722.8161927749586,-23323.827651573556
41947200.0,-239305026031.61948,-32300635167.893085,2113.4960336223535,-23275.902251559135
41990400.0,-238921236667.64233,-36320170044.4663,2502.702627652657,-23221.54031665377
42033600.0,-238470266682.13626,-40330005925.98458,2890.334937637749,-23160.786589676063
42076800.0,-237952392879.086,-44329040499.7505,3276.2932336334748,-23093.687193573427
42120000.0,-237367909233.05865,-48316179487.50177,3660.479102885461,-23020.289595039827
